pnl,user,baseAssetAmount,quoteAssetAmountAfter,quoteEntryAmount,settlePrice,txSig,slot,datetime,marketIndex,explanation,programId
-11.50227,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-507.12148,-526.3336,2.204876,dN1kuWCf8b8v2a5xJnhPCk3LQ1n91VugDb1t1C9oCDbxWdD9Gj7Wc67mKdK3KVUxJDjQcuEE5pzTyhMjeJiJqPx,250677318,2/26/2024  6:50:47 PM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
20.066615,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,30.3,-428.79954,-411.185913,14.1518,4gh3WEhHEtQG11JXNY6tDasEuU6UwJ8R1aZAVuBxMpzKQKMUWmSKdb6HwRcmMwUHW4sEJC6tTxSWFoxyFdeGJHEP,250704975,2/26/2024  10:01:51 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
25.555013,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-532.74647,-526.3336,2.316289,5mrnhecvqCVSLpxz3pfk5RLbZMVuPMsbEWu8cX4KeUS4jXQYtsvjELXWPyYre2VCA4JS7u5dycnxv216phP1hGLe,250707022,2/26/2024  10:16:00 PM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
73.93695,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,462.0,-332.711148,-210.874097,0.720154,5JcnsaKbY7wkG1RTWzTa9r1HWVsDu6KwQ1ZxEWfMMNbJwEpSPt7yzwDMsVaJDbL2jiweX7FUDk5j16frjX8mYDbh,250707851,2/26/2024  10:21:43 PM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
29.875595,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,462.0,-362.540178,-210.874097,0.784719,TfxFFLixqtgGMt1nr1aT3nXZpfHVPxFSrtPud2Ug5HBKgH6ZnyiJEyKPJ2Ak4vc3K1YguoTQTzkAnRfH4tgoZdb,250721344,2/26/2024  11:56:48 PM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
1.48302,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,462.0,-364.023198,-210.874097,0.787929,37FeeTKz59MiKghwfRecDreNGC9wAnTTBCn1AHqyPM7UXVptwBtmMoJh8Ff8GMnmbkRnq3pnKigdej89GeZNt9bq,250721467,2/26/2024  11:57:40 PM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
25.319848,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-558.20724,-526.3336,2.426988,5ULiqm9ZSnZrtwSJrLoJvNcRrSPhDiGGb3FwPhmDmvjKH4nXzTVNQKYmBKKARDEc39ZmwYYbWgaApHd8bsL3WgLy,250729180,2/27/2024  12:51:17 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.76636,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-558.9736,-526.3336,2.43032,BWqzjV56UCMXcTTUZRPaYYdB8cC3LLgHjfUXSH9NKGaGNe4pFvjrvv2pZXEofdacRkCcap9RUM6MBUyRvj15s4w,250729255,2/27/2024  12:51:50 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
9.612035,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,32.0,-206.550176,-197.624,6.454693,3K6Xrtt48hkpM8StYCXM3BwnEppcr6foSvW6dxNYoWYp3vq4ip9n3HGLtxxo1AQCRDVKKnHMEmLSCJa4xz3H2JoB,250735902,2/27/2024  1:38:36 AM,25,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
28.569968,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-587.8662,-526.3336,2.55594,2ZMReTJQrR6f5pmpxCmsArbMUK7LiYWKP6EsvEVwNbGr2f5URWneBANZmjVQif7ibjq4oyTZTiiqSaLV5oz63KDA,250749559,2/27/2024  3:13:27 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
5.29736,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-593.16356,-526.3336,2.578972,54jwZbP47N9okfjaHjhqcxHyMPZXQAK3Utz3LtBCySNmoqnADUKRznFCgeEcj49ycPexgxRuHyfUvpTXQA2XDmWg,250749693,2/27/2024  3:14:24 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-23.964099,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,358.0,-256.487668,-163.404604,0.716446,5Pkp7GCxGi4XxBtTLCT2dmRnnMdjS15KCsTKthrixReiRFYmkPABJwcEUKeAGhi1hr4oVoFRLYtMZ83YZG8M5ZLw,250757258,2/27/2024  4:07:26 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
1.568398,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,358.0,-258.056066,-163.404604,0.720827,5KJfFyB8r7ufuvXjTxdZAmunrEPFsu4uwcY392YaKg3e4JdEyULCJ9WUT7hSxPKqjpXuT8Y16VXMGs1ThapGSgzh,250757393,2/27/2024  4:08:20 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
